"USDA and ODS-NIH Database for the Purine Content of Foods
Release 2, March 2025",,,,,,,,,,,,,,,,,,,,,,
Presented in milligrams per 100 grams (mg/100g),,,,,,,,,,,,,,,,,,,,,,
International Published Literature (Excluding North America),,,,,,,,,,,,,,,,,,,,,,
Food Description,N,Adenine,,,,Guanine,,,,Hypoxanthine,,,,Xanthine,,,,Total of 4 Purine Bases (mg/100g),Uric Acid (mg/100g)*,Year(s) Published,Data Source1,Country of Origin2 
,,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,,,,,
Vegetarian tender 'shrimp',1,0,-,-,-,0.06,-,-,-,0,-,-,-,0,-,-,-,0.1,0,2010,f,Vietnam
"Veggie burgers or soyburgers, unprepared",7,30,6.5,17,66,32,5.6,21,60,2.6,1.2,0.0,8.2,0.5,0.2,0,1.0,65,0,2010,f,"Czech Republic, Great Britain"
Vegi 'steak' from soy,1,27,-,-,-,34,-,-,-,0,-,-,-,0.7,-,-,-,62,0,2010,f,Czech Republic
Vegideli fish style fingers ,1,31,-,-,-,36,-,-,-,0,-,-,-,0,-,-,-,67,0,2010,f,Great Britain
ND = not detected,,,,,,,,,,,,,,,,,,,,,,
*Data presented as wet weight and edible portion of material,,,,,,,,,,,,,,,,,,,,,,
1 Sources of data:,,,,,,,,,,,,,,,,,,,,,,
"b - Kaneko, K.,et al. (2014).",,,,,,,,,,,,,,,,,,,,,,
"c - Qu, X., et al. (2017). ",,,,,,,,,,,,,,,,,,,,,,
"d - Kaneko, K.,et al. (2008). ",,,,,,,,,,,,,,,,,,,,,,
"f - Havlik, J.,et al. (2010). ",,,,,,,,,,,,,,,,,,,,,,
"n - Kaneko, K., et al. (2020)",,,,,,,,,,,,,,,,,,,,,,
2 Analytical data or publications' origin; sample origin not necessarily specified,,,,,,,,,,,,,,,,,,,,,,
"3 Food analyzed 3 times by Kaneko, K., et al., (2014) under different processing conditions; USDA combined data due to similar purine content",,,,,,,,,,,,,,,,,,,,,,
"4 Sample ND by Kaneko, K., et al., (2014), and below limit of detection (<LOD, measured 0) in Havlik, J., et al., (2010)",,,,,,,,,,,,,,,,,,,,,,
"5 Uric acid measured only in samples from Havlik, J., et al. (2010)",,,,,,,,,,,,,,,,,,,,,,
"6 Food presented as two data sets (upper and lower stalk) in Kaneko, K., et al., (2014); USDA combined data to reflect consumption status",,,,,,,,,,,,,,,,,,,,,,
